,Name,Type,Constellation,Rise,Set,Duration,Magnitude
3449,NGC6180,G,Her,22,1,4.17,
3451,NGC6182,G,Dra,23,2,4.17,
3452,NGC6184,G,Her,22,1,4.17,
3453,NGC6185,G,Her,22,0,3.13,
3454,NGC6186,G,Her,22,0,2.09,
3455,NGC6187,G,Dra,23,2,4.17,
3456,NGC6189,G,Dra,23,3,5.22,
3457,NGC6190,G,Dra,23,2,4.17,
3458,NGC6191,G,Dra,23,2,4.17,
3459,NGC6194,G,Her,22,0,3.13,
3462,NGC6197,G,Her,22,0,3.13,
3463,NGC6198,G,Dra,23,2,4.17,
3464,NGC6199,*,Her,22,0,3.13,
3465,NGC6201,G,Her,22,0,2.09,
3466,NGC6202,G,Dra,23,3,5.22,
3467,NGC6203,G,Her,22,0,2.09,
3469,NGC6206,G,Dra,23,3,5.22,
3474,NGC6213,G,Dra,23,2,4.17,
3475,NGC6214,G,Dra,23,4,6.26,
3477,NGC6219,G,Her,22,23,1.04,
3478,NGC6223,G,Dra,23,3,5.22,
3479,NGC6224,G,Her,22,23,1.04,
3480,NGC6225,G,Her,22,23,1.04,
3481,NGC6226,Dup,Dra,23,3,5.22,
3482,NGC6228,G,Her,22,0,3.13,
3484,NGC6230,GPair,Her,22,23,1.04,
3485,NGC6230 NED01,G,Her,22,23,1.04,
3486,NGC6230 NED02,G,Her,22,23,1.04,
3487,NGC6232,G,Dra,22,6,9.39,
3488,NGC6233,G,Her,22,0,3.13,
3489,NGC6234,G,Oph,22,23,1.04,
3491,NGC6237,Other,Dra,22,6,9.39,
3495,NGC6241,G,Her,23,1,3.13,
3496,NGC6243,G,Her,22,0,3.13,
3497,NGC6244,G,Dra,23,3,5.22,
3498,NGC6245,Other,Dra,22,6,9.39,
3501,NGC6247,G,Dra,23,3,5.22,
3502,NGC6248,G,Dra,22,6,9.39,
3504,NGC6252,G,UMi,22,6,9.39,
3506,NGC6257,G,Her,23,1,3.13,
3507,NGC6258,G,Dra,23,3,5.22,
3508,NGC6260,G,Dra,23,4,6.26,
3509,NGC6261,G,Her,22,0,3.13,
3510,NGC6262,G,Dra,23,3,5.22,
3511,NGC6263,G,Her,22,0,3.13,
3513,NGC6265,G,Her,22,0,3.13,
3514,NGC6267,G,Her,22,0,3.13,
3516,NGC6270,G,Her,22,0,3.13,
3517,NGC6271,G,Her,22,0,3.13,
3518,NGC6272,G,Her,22,0,3.13,
3519,NGC6274,GPair,Her,22,0,3.13,
3521,NGC6276,G,Her,22,0,3.13,
3522,NGC6277,*,Her,22,0,3.13,
3523,NGC6278,G,Her,22,0,3.13,
3524,NGC6279,G,Her,23,2,4.17,
3525,NGC6280,GPair,Oph,22,23,1.04,
3526,NGC6282,G,Her,22,0,3.13,
3527,NGC6283,G,Her,23,2,4.17,
3528,NGC6285,G,Dra,23,3,5.22,
3529,NGC6286,G,Dra,23,3,5.22,
3530,NGC6288,G,Dra,23,6,8.35,
3531,NGC6289,G,Dra,22,6,9.39,
3533,NGC6291,G,Dra,23,3,5.22,
3534,NGC6292,G,Dra,23,3,5.22,
3535,NGC6295,G,Dra,23,3,5.22,
3536,NGC6296,G,Oph,22,23,1.04,
3537,NGC6297,G,Dra,23,4,6.26,
3538,NGC6298,Dup,Dra,22,6,9.39,
3539,NGC6299,G,Dra,23,4,6.26,
3540,NGC6301,G,Her,23,1,3.13,
3541,NGC6303,G,Dra,23,6,8.35,
3543,NGC6307,G,Dra,23,3,5.22,
3544,NGC6308,G,Her,22,0,3.13,
3545,NGC6310,G,Dra,23,3,5.22,
3546,NGC6311,G,Her,23,1,3.13,
3547,NGC6312,G,Her,23,1,3.13,
3548,NGC6313,G,Her,23,2,4.17,
3551,NGC6317,G,Dra,23,4,6.26,
3552,NGC6319,G,Dra,23,4,6.26,
3553,NGC6320,G,Her,23,1,3.13,
3554,NGC6321,G,Her,22,0,3.13,
3555,NGC6323,G,Her,23,2,4.17,
3556,NGC6324,G,UMi,22,6,9.39,
3557,NGC6327,G,Her,23,2,4.17,
3558,NGC6329,G,Her,23,2,4.17,
3559,NGC6330,G,Her,22,0,3.13,
3560,NGC6331,G,UMi,22,6,9.39,
3561,NGC6332,G,Her,23,2,4.17,
3562,NGC6336,G,Her,23,2,4.17,
3564,NGC6339,G,Her,23,1,3.13,
3567,NGC6343,G,Her,23,1,3.13,
3568,NGC6344,**,Her,23,1,3.13,
3569,NGC6345,G,Dra,0,3,4.17,
3570,NGC6346,G,Dra,0,3,4.17,
3572,NGC6348,G,Her,23,1,3.13,
3573,NGC6349,G,Her,23,1,3.13,
3574,NGC6350,G,Her,23,1,3.13,
3575,NGC6351,GPair,Her,23,1,3.13,
3576,NGC6351 NED01,G,Her,23,1,3.13,
3577,NGC6351 NED02,G,Her,23,1,3.13,
3578,NGC6358,G,Dra,0,2,3.13,
3580,NGC6361,G,Dra,0,4,5.22,
3581,NGC6363,G,Her,23,1,3.13,
3582,NGC6364,G,Her,22,1,4.17,
3583,NGC6365,GPair,Dra,0,4,5.22,
3585,NGC6365B,G,Dra,0,4,5.22,
3586,NGC6367,G,Her,23,1,3.13,
3587,NGC6368,G,Oph,22,0,2.09,
3589,NGC6371,G,Her,22,0,3.13,
3591,NGC6373,G,Dra,0,3,4.17,
3592,NGC6375,G,Her,22,0,3.13,
3594,NGC6377,G,Dra,0,3,4.17,
3595,NGC6378,G,Oph,22,0,2.09,
3597,NGC6381,G,Dra,0,4,5.22,
3598,NGC6382,G,Dra,0,3,4.17,
3600,NGC6385,G,Dra,0,3,4.17,
3601,NGC6386,G,Dra,0,3,4.17,
3604,NGC6390,G,Dra,0,4,5.22,
3605,NGC6391,G,Dra,0,3,4.17,
3606,NGC6393,G,Dra,0,4,5.22,
3608,NGC6395,G,Dra,22,6,9.39,
3609,NGC6399,G,Dra,0,4,5.22,
3611,NGC6408,G,Her,22,0,3.13,
3612,NGC6409,G,Dra,0,3,4.17,
3613,NGC6410,**,Dra,0,4,5.22,
3616,NGC6413,Other,Oph,22,0,3.13,
3617,NGC6414,G,Dra,22,6,9.39,
3618,NGC6417,G,Her,22,0,3.13,
3620,NGC6419,G,Dra,23,6,8.35,
3621,NGC6420,G,Dra,23,6,8.35,
3622,NGC6422,G,Dra,23,6,8.35,
3624,NGC6424,G,Dra,23,6,8.35,
3625,NGC6426,GCl,Oph,22,0,2.09,
3626,NGC6427,G,Her,22,1,4.17,
3627,NGC6428,**,Her,22,1,4.17,
3628,NGC6429,G,Her,22,1,4.17,
3629,NGC6430,G,Her,22,0,3.13,
3630,NGC6431,Dup,Her,22,1,4.17,
3631,NGC6433,G,Her,23,1,3.13,
3633,NGC6435,G,Dra,0,4,5.22,
3634,NGC6436,G,Dra,0,4,5.22,
3635,NGC6442,G,Her,22,0,3.13,
3636,NGC6443,G,Her,0,2,3.13,
3639,NGC6448,Other,Dra,0,3,4.17,
3640,NGC6449,G,Dra,0,3,4.17,
3641,NGC6450,Other,Her,22,0,3.13,
3642,NGC6452,G,Her,22,0,3.13,
3644,NGC6456,G,Dra,23,6,8.35,
3645,NGC6457,G,Dra,0,5,6.26,
3646,NGC6458,G,Her,22,0,3.13,
3647,NGC6459,G,Dra,0,3,4.17,
3648,NGC6460,G,Her,22,0,3.13,
3649,NGC6461,G,Dra,22,6,9.39,
3650,NGC6462,G,Dra,0,4,5.22,
3651,NGC6463,G,Dra,23,6,8.35,
3652,NGC6464,G,Dra,0,4,5.22,
3653,NGC6466,G,Dra,0,3,4.17,
3654,NGC6467,G,Her,22,0,3.13,
3655,NGC6468,Dup,Her,22,0,3.13,
3656,NGC6470,G,Dra,23,6,8.35,
3657,NGC6471,GPair,Dra,23,6,8.35,
3658,NGC6471 NED01,G,Dra,23,6,8.35,
3659,NGC6471 NED02,G,Dra,23,6,8.35,
3660,NGC6472,G,Dra,23,6,8.35,
3661,NGC6473,G,Dra,0,3,4.17,
3662,NGC6474,G,Dra,0,3,4.17,
3663,NGC6477,G,Dra,23,6,8.35,
3664,NGC6478,G,Dra,0,3,4.17,
3665,NGC6479,G,Dra,0,3,4.17,
3666,NGC6481,Other,Oph,22,0,2.09,
3668,NGC6484,G,Her,22,1,4.17,
3669,NGC6485,G,Her,22,1,4.17,
3670,NGC6486,G,Her,22,1,4.17,
3672,NGC6488,G,Dra,0,4,5.22,
3673,NGC6489,G,Dra,0,4,5.22,
3674,NGC6490,G,Her,22,0,3.13,
3675,NGC6491,G,Dra,0,4,5.22,
3676,NGC6493,G,Dra,0,4,5.22,
3677,NGC6495,G,Her,22,0,3.13,
3678,NGC6497,G,Dra,0,4,5.22,
3679,NGC6498,Dup,Dra,0,4,5.22,
3680,NGC6499,**,Her,22,0,3.13,
3682,NGC6501,G,Her,22,0,3.13,
3684,NGC6504,G,Her,23,1,3.13,
3685,NGC6505,G,Dra,0,5,6.26,
3686,NGC6508,G,Dra,22,6,9.39,
3687,NGC6509,G,Oph,22,0,2.09,
3688,NGC6510,G,Dra,0,4,5.22,
3689,NGC6511,Dup,Dra,0,4,5.22,
3690,NGC6512,G,Dra,0,4,5.22,
3691,NGC6513,G,Her,22,1,4.17,
3692,NGC6515,G,Dra,0,3,4.17,
3693,NGC6516,G,Dra,0,4,5.22,
3694,NGC6518,G,Her,22,1,4.17,
3696,NGC6524,G,Her,0,2,3.13,
3697,NGC6525,OCl,Oph,22,0,3.13,
3698,NGC6527,G,Her,22,0,3.13,
3699,NGC6532,G,Dra,0,4,5.22,
3700,NGC6534,G,Dra,0,5,6.26,
3702,NGC6536,G,Dra,0,5,6.26,
3703,NGC6538,G,Dra,22,6,9.39,
3704,NGC6542,G,Dra,0,4,5.22,
3706,NGC6547,G,Her,22,1,4.17,
3708,NGC6549,G,Her,22,0,3.13,
3709,NGC6550,Dup,Her,22,0,3.13,
3713,NGC6562,G,Dra,0,4,5.22,
3714,NGC6564,Other,Her,22,0,3.13,
3715,NGC6566,G,Dra,0,3,4.17,
3717,NGC6571,G,Her,22,1,4.17,
3720,NGC6575,G,Her,23,1,3.13,
3721,NGC6576,G,Her,22,1,4.17,
3723,NGC6579,G,Her,22,1,4.17,
3724,NGC6580,G,Her,22,1,4.17,
3725,NGC6581,G,Her,22,1,4.17,
3726,NGC6582,GPair,Her,0,3,4.17,
3728,NGC6582 NED02,G,Her,0,3,4.17,
3729,NGC6585,G,Her,0,2,3.13,
3730,NGC6586,G,Her,22,1,4.17,
3731,NGC6587,G,Her,22,1,4.17,
3732,NGC6591,G,Her,22,1,4.17,
3733,NGC6592,G,Dra,0,4,5.22,
3734,NGC6593,G,Her,22,1,4.17,
3735,NGC6594,G,Dra,0,4,5.22,
3736,NGC6597,G,Dra,0,4,5.22,
3737,NGC6598,G,Dra,23,6,8.35,
3739,NGC6600,Dup,Her,22,1,4.17,
3740,NGC6601,G,Dra,0,5,6.26,
3741,NGC6602,G,Her,22,1,4.17,
3742,NGC6606,G,Lyr,0,2,3.13,
3743,NGC6607,G,Dra,0,5,6.26,
3744,NGC6608,G,Dra,0,4,5.22,
3745,NGC6609,G,Dra,0,5,6.26,
3746,NGC6610,Dup,Her,22,0,3.13,
3747,NGC6612,G,Lyr,0,2,3.13,
3748,NGC6615,G,Oph,22,0,3.13,
3749,NGC6616,G,Her,22,1,4.17,
3750,NGC6617,G,Dra,0,5,6.26,
3751,NGC6619,G,Her,22,1,4.17,
3752,NGC6621,G,Dra,0,6,7.3,
3753,NGC6622,G,Dra,0,6,7.3,
3754,NGC6623,GPair,Her,22,1,4.17,
3755,NGC6623 NED01,G,Her,22,1,4.17,
3756,NGC6623 NED02,G,Her,22,1,4.17,
3758,NGC6628,G,Her,22,1,4.17,
3762,NGC6636,GPair,Dra,0,6,7.3,
3763,NGC6636 NED01,G,Dra,0,6,7.3,
3765,NGC6640,G,Lyr,0,2,3.13,
3766,NGC6641,G,Her,22,1,4.17,
3769,NGC6648,Other,Dra,0,6,7.3,
3770,NGC6650,G,Dra,0,6,7.3,
3771,NGC6651,G,Dra,22,6,9.39,
3773,NGC6654A,G,Dra,22,6,9.39,
3774,NGC6655,**,Sct,22,23,1.04,
3775,NGC6657,G,Lyr,0,2,3.13,
3777,NGC6659,OCl,Her,22,1,4.17,
3779,NGC6661,Dup,Her,22,1,4.17,
3780,NGC6662,G,Lyr,23,2,4.17,
3781,NGC6663,G,Lyr,0,2,3.13,
3783,NGC6665,G,Lyr,22,2,5.22,
3784,NGC6666,Other,Lyr,0,2,3.13,
3786,NGC6668,Dup,Dra,0,6,7.3,
3787,NGC6669,Other,Her,22,1,4.17,
3788,NGC6670,GTrpl,Dra,0,5,5.22,
3789,NGC6670A,G,Dra,0,5,5.22,
3790,NGC6670B,G,Dra,0,5,5.22,
3791,NGC6671,G,Lyr,22,2,5.22,
3792,NGC6672,**,Lyr,0,3,4.17,
3794,NGC6675,G,Lyr,0,3,4.17,
3795,NGC6676,G,Dra,0,6,7.3,
3796,NGC6677,G,Dra,0,6,7.3,
3797,NGC6678,Dup,Dra,0,6,7.3,
3798,NGC6679,G,Dra,0,6,7.3,
3799,NGC6680,G,Her,22,1,4.17,
3800,NGC6682,OCl,Sct,22,23,1.04,
3802,NGC6685,G,Lyr,0,3,4.17,
3803,NGC6686,G,Lyr,0,3,4.17,
3804,NGC6687,G,Dra,0,5,5.22,
3805,NGC6688,G,Lyr,0,2,3.13,
3807,NGC6690,Dup,Dra,23,6,8.35,
3809,NGC6692,GPair,Lyr,0,2,3.13,
3810,NGC6693,Dup,Lyr,0,2,3.13,
3812,NGC6696,G,Dra,0,5,5.22,
3813,NGC6697,G,Her,22,2,5.22,
3814,NGC6700,G,Lyr,0,2,3.13,
3815,NGC6701,G,Dra,0,5,5.22,
3823,NGC6713,G,Lyr,0,2,3.13,
3824,NGC6714,*Ass,Dra,0,6,6.26,
3826,NGC6724,OCl,Aql,22,1,4.17,
3827,NGC6731,**,Lyr,0,3,3.13,
3828,NGC6732,G,Dra,0,4,4.17,
3829,NGC6735,OCl,Aql,22,0,2.09,
3831,NGC6740,G,Lyr,22,2,5.22,
3834,NGC6743,OCl,Lyr,22,2,5.22,
3835,NGC6745,GTrpl,Lyr,0,3,3.13,
3836,NGC6745 NED01,G,Lyr,0,3,3.13,
3837,NGC6745 NED02,G,Lyr,0,3,3.13,
3838,NGC6745 NED03,G,Lyr,0,3,3.13,
3839,NGC6747,G,Dra,22,6,9.39,
3840,NGC6748,Dup,Aql,22,2,5.22,
3842,NGC6750,G,Dra,0,5,5.22,
3846,NGC6757,G,Dra,0,4,4.17,
3847,NGC6759,G,Dra,0,4,4.17,
3849,NGC6762,G,Dra,0,6,6.26,
3850,NGC6763,Dup,Dra,0,6,6.26,
3853,NGC6766,Dup,Cyg,1,5,4.17,
3854,NGC6767,**,Lyr,0,3,3.13,
3856,NGC6773,OCl,Aql,22,0,3.13,
3857,NGC6775,OCl,Aql,22,0,3.13,
3861,NGC6783,G,Cyg,0,4,4.17,
3862,NGC6785,Dup,Aql,22,0,3.13,
3864,NGC6787,G,Dra,0,5,5.22,
3868,NGC6792,G,Lyr,0,3,3.13,
3869,NGC6793,OCl,Vul,22,2,5.22,
3870,NGC6795,OCl,Aql,22,0,3.13,
3872,NGC6798,G,Cyg,1,5,4.17,
3873,NGC6800,OCl,Vul,22,2,5.22,
3874,NGC6801,G,Cyg,1,5,4.17,
3880,NGC6813,PN,Vul,22,3,6.26,
3881,NGC6815,*Ass,Vul,22,3,6.26,
3882,NGC6817,GPair,Dra,1,6,5.22,
3883,NGC6817 NED01,G,Dra,1,6,5.22,
3884,NGC6817 NED02,G,Dra,1,6,5.22,
3886,NGC6820,Neb,Vul,22,2,5.22,
3890,NGC6825,GPair,Dra,1,6,5.22,
3892,NGC6827,OCl,Vul,22,2,5.22,
3893,NGC6828,OCl,Aql,22,1,4.17,
3894,NGC6829,G,Dra,1,6,5.22,
3896,NGC6831,G,Dra,1,6,5.22,
3897,NGC6832,OCl,Cyg,1,6,5.22,
3900,NGC6837,OCl,Aql,22,2,5.22,
3902,NGC6839,Other,Sge,22,2,5.22,
3903,NGC6840,OCl,Aql,22,2,5.22,
3905,NGC6843,OCl,Aql,22,2,5.22,
3907,NGC6847,Cl+N,Cyg,22,3,6.26,
3910,NGC6856,OCl,Cyg,1,5,4.17,
3911,NGC6857,HII,Cyg,22,3,6.26,
3912,NGC6858,OCl,Aql,22,2,5.22,
3913,NGC6859,Other,Aql,22,1,4.17,
3914,NGC6863,Other,Aql,22,0,3.13,
3918,NGC6873,OCl,Sge,22,3,6.26,
3924,NGC6885,Dup,Vul,22,3,6.26,
3926,NGC6888,HII,Cyg,22,4,7.3,
3928,NGC6892,Other,Sge,22,2,5.22,
3930,NGC6895,OCl,Cyg,1,5,4.17,
3931,NGC6896,**,Cyg,22,3,6.26,
3932,NGC6900,G,Aql,22,0,3.13,
3933,NGC6901,G,Aql,22,2,5.22,
3934,NGC6904,OCl,Vul,22,3,6.26,
3938,NGC6911,G,Dra,22,6,9.39,
3940,NGC6914,RfN,Cyg,22,4,7.3,
3941,NGC6915,G,Aql,23,1,3.13,
3942,NGC6916,G,Cyg,2,6,4.17,
3943,NGC6917,G,Del,22,2,5.22,
3948,NGC6927A,G,Del,22,2,5.22,
3954,NGC6938,OCl,Vul,22,3,6.26,
3957,NGC6941,G,Aql,23,0,2.09,
3959,NGC6944A,G,Del,22,2,5.22,
3960,NGC6945,G,Aqr,23,0,2.09,
3963,NGC6950,OCl,Del,22,3,6.26,
3965,NGC6952,Dup,Cep,22,6,9.39,
3966,NGC6953,Other,Cep,22,6,9.39,
3968,NGC6955,G,Del,22,2,5.22,
3969,NGC6956,G,Del,22,2,5.22,
3970,NGC6957,G,Del,22,2,5.22,
3971,NGC6959,G,Aqr,22,1,4.17,
3972,NGC6960,SNR,Cyg,22,4,7.3,
3973,NGC6961,G,Aqr,22,1,4.17,
3975,NGC6963,**,Aqr,22,1,4.17,
3978,NGC6966,**,Aqr,22,1,4.17,
3980,NGC6968,G,Aqr,0,0,1.04,
3982,NGC6971,G,Del,22,2,5.22,
3983,NGC6972,G,Del,22,2,5.22,
3984,NGC6973,*,Aqr,0,0,1.04,
3985,NGC6974,SNR,Cyg,22,4,7.3,
3986,NGC6975,G,Aqr,0,0,1.04,
3987,NGC6976,Dup,Aqr,0,0,1.04,
3988,NGC6977,G,Aqr,0,0,1.04,
3989,NGC6978,G,Aqr,0,0,1.04,
3990,NGC6980,*,Aqr,0,0,1.04,
3991,NGC6988,G,Del,22,3,6.26,
3992,NGC6989,OCl,Cyg,22,5,8.35,
3993,NGC6991,OCl,Cyg,22,5,8.35,
3994,NGC6992,SNR,Cyg,22,4,7.3,
3995,NGC6995,SNR,Cyg,22,4,7.3,
3996,NGC6996,*Ass,Cyg,22,5,8.35,
3998,NGC7000,HII,Cyg,22,5,8.35,
4000,NGC7003,G,Del,22,3,6.26,
4003,NGC7011,OCl,Cyg,22,5,8.35,
4006,NGC7023,Neb,Cep,22,6,9.39,
4007,NGC7024,OCl,Cyg,22,5,8.35,
4008,NGC7025,G,Del,22,3,6.26,
4011,NGC7028,G,Del,22,3,6.26,
4013,NGC7033,G,Peg,22,3,6.26,
4014,NGC7034,G,Peg,22,3,6.26,
4015,NGC7036,OCl,Peg,22,3,6.26,
4016,NGC7037,OCl,Cyg,22,5,8.35,
4018,NGC7040,G,Equ,22,3,6.26,
4019,NGC7042,G,Peg,22,3,6.26,
4020,NGC7043,G,Peg,22,3,6.26,
4022,NGC7045,**,Equ,22,2,5.22,
4024,NGC7047,G,Aqr,23,2,4.17,
4026,NGC7050,OCl,Cyg,22,5,8.35,
4028,NGC7053,G,Peg,22,4,7.3,
4029,NGC7054,Dup,Vul,22,5,8.35,
4030,NGC7055,OCl,Cep,22,6,9.39,
4032,NGC7058,OCl,Cyg,22,6,9.39,
4035,NGC7065,G,Aqr,0,1,2.09,
4037,NGC7066,GPair,Peg,22,3,6.26,
4039,NGC7068,G,Peg,22,3,6.26,
4040,NGC7069,G,Aqr,23,2,4.17,
4041,NGC7071,*Ass,Cyg,22,6,9.39,
4042,NGC7074,G,Peg,22,3,6.26,
4047,NGC7081,G,Aqr,23,2,4.17,
4049,NGC7084,OCl,Peg,22,4,7.3,
4050,NGC7085,G,Peg,22,3,6.26,
4052,NGC7088,Other,Aqr,23,2,4.17,
4055,NGC7093,OCl,Cyg,22,6,9.39,
4057,NGC7100,*,Peg,22,3,6.26,
4058,NGC7101,G,Peg,22,3,6.26,
4059,NGC7102,G,Peg,23,3,5.22,
4060,NGC7108,G,Aqr,0,1,1.04,
4061,NGC7111,Dup,Aqr,0,1,1.04,
4062,NGC7112,G,Peg,22,3,6.26,
4063,NGC7113,Dup,Peg,22,3,6.26,
4065,NGC7116,G,Cyg,22,5,8.35,
4066,NGC7120,G,Aqr,0,1,1.04,
4067,NGC7121,G,Aqr,0,2,3.13,
4068,NGC7127,OCl,Cyg,22,6,9.39,
4071,NGC7132,G,Peg,22,3,6.26,
4072,NGC7133,Other,Cep,22,6,9.39,
4074,NGC7138,G,Peg,22,4,7.3,
4077,NGC7143,Other,Cyg,22,5,8.35,
4078,NGC7146,G,Peg,23,3,5.22,
4079,NGC7147,G,Peg,23,3,5.22,
4080,NGC7148,**,Peg,23,3,5.22,
4081,NGC7149,G,Peg,23,3,5.22,
4082,NGC7150,Other,Cyg,22,6,9.39,
4084,NGC7159,G,Peg,22,4,7.3,
4086,NGC7161,Other,Peg,23,3,5.22,
4087,NGC7164,G,Aqr,23,3,5.22,
4088,NGC7170,G,Aqr,0,2,2.09,
4089,NGC7175,OCl,Cyg,22,6,9.39,
4091,NGC7181,G,Aqr,0,2,3.13,
4092,NGC7182,G,Aqr,0,2,3.13,
4093,NGC7186,Other,Peg,22,5,8.35,
4094,NGC7189,G,Aqr,0,3,4.17,
4095,NGC7190,G,Peg,23,4,6.26,
4096,NGC7193,OCl,Peg,23,4,6.26,
4097,NGC7194,G,Peg,22,4,7.3,
4098,NGC7195,G,Peg,22,4,7.3,
4099,NGC7197,G,Lac,22,6,9.39,
4100,NGC7198,G,Aqr,0,2,3.13,
4101,NGC7206,G,Peg,22,4,7.3,
4102,NGC7207,G,Peg,22,4,7.3,
4104,NGC7210,Dup,Peg,22,5,8.35,
4105,NGC7211,G,Aqr,0,1,1.04,
4106,NGC7212,GTrpl,Peg,23,4,6.26,
4107,NGC7215,G,Aqr,0,3,4.17,
4109,NGC7222,G,Aqr,0,3,4.17,
4110,NGC7223,G,Lac,22,6,9.39,
4111,NGC7224,G,Peg,22,5,8.35,
4113,NGC7227,G,Lac,22,6,9.39,
4114,NGC7228,G,Lac,22,6,9.39,
4115,NGC7231,G,Lac,22,6,9.39,
4116,NGC7235,Dup,Cep,22,6,9.39,
4118,NGC7237,G,Peg,22,4,7.3,
4119,NGC7238,Other,Peg,22,5,8.35,
4120,NGC7239,G,Aqr,0,2,2.09,
4122,NGC7241,G,Peg,22,4,7.3,
4123,NGC7242,GPair,Lac,22,6,9.39,
4124,NGC7242 NED01,G,Lac,22,6,9.39,
4125,NGC7242 NED02,G,Lac,22,6,9.39,
4131,NGC7253,GPair,Peg,22,5,8.35,
4132,NGC7253A,G,Peg,22,5,8.35,
4133,NGC7253B,G,Peg,22,5,8.35,
4134,NGC7257,G,Aqr,0,2,2.09,
4135,NGC7260,Dup,Aqr,0,2,2.09,
4137,NGC7263,G,Lac,22,6,9.39,
4138,NGC7264,G,Lac,22,6,9.39,
4140,NGC7266,G,Aqr,0,2,2.09,
4141,NGC7270,G,Peg,22,6,9.39,
4142,NGC7271,G,Peg,22,6,9.39,
4143,NGC7272,G,Peg,22,4,7.3,
4144,NGC7273,G,Lac,22,6,9.39,
4145,NGC7274,G,Lac,22,6,9.39,
4146,NGC7275,G,Peg,22,6,9.39,
4147,NGC7276,G,Lac,22,6,9.39,
4149,NGC7281,OCl,Cep,22,6,9.39,
4150,NGC7282,G,Lac,22,6,9.39,
4151,NGC7283,G,Peg,22,5,8.35,
4152,NGC7286,G,Peg,22,5,8.35,
4153,NGC7288,G,Aqr,0,2,2.09,
4155,NGC7291,G,Peg,22,4,7.3,
4158,NGC7296,Dup,Lac,22,6,9.39,
4159,NGC7303,G,Peg,22,6,9.39,
4160,NGC7304,Other,Peg,22,6,9.39,
4161,NGC7305,G,Peg,23,4,6.26,
4162,NGC7311,G,Peg,0,4,5.22,
4163,NGC7312,G,Peg,0,4,5.22,
4164,NGC7315,G,Peg,22,6,9.39,
4167,NGC7318,GPair,Peg,22,6,9.39,
4169,NGC7318B,G,Peg,22,6,9.39,
4173,NGC7321,G,Peg,22,5,8.35,
4174,NGC7323,G,Peg,22,5,8.35,
4175,NGC7324,G,Peg,22,5,8.35,
4176,NGC7325,**,Peg,22,6,9.39,
4177,NGC7326,**,Peg,22,6,9.39,
4180,NGC7330,G,Lac,22,6,9.39,
4185,NGC7336,G,Peg,22,6,9.39,
4186,NGC7337,G,Peg,22,6,9.39,
4187,NGC7338,**,Peg,22,6,9.39,
4189,NGC7340,G,Peg,22,6,9.39,
4190,NGC7342,G,Peg,22,6,9.39,
4192,NGC7344,G,Aqr,0,2,2.09,
4193,NGC7345,G,Peg,22,6,9.39,
4194,NGC7346,G,Peg,23,4,6.26,
4195,NGC7347,G,Peg,23,4,6.26,
4196,NGC7348,G,Peg,23,4,6.26,
4197,NGC7350,**,Peg,23,4,6.26,
4198,NGC7351,G,Aqr,0,2,2.09,
4199,NGC7352,Other,Cep,22,6,9.39,
4200,NGC7353,G,Peg,23,4,6.26,
4202,NGC7356,G,Peg,22,6,9.39,
4203,NGC7357,G,Peg,22,6,9.39,
4204,NGC7360,G,Peg,0,4,5.22,
4206,NGC7363,G,Peg,22,6,9.39,
4207,NGC7364,G,Aqr,0,3,4.17,
4208,NGC7366,G,Peg,23,4,6.26,
4209,NGC7367,G,Peg,0,4,5.22,
4210,NGC7369,G,Peg,22,6,9.39,
4211,NGC7370,G,Peg,23,4,6.26,
4212,NGC7372,G,Peg,23,4,6.26,
4213,NGC7373,G,Peg,0,4,5.22,
4214,NGC7374,G,Peg,23,4,6.26,
4215,NGC7374B,G,Peg,23,4,6.26,
4216,NGC7375,G,Peg,22,5,8.35,
4217,NGC7376,G,Peg,0,4,5.22,
4218,NGC7379,G,Lac,22,6,9.39,
4221,NGC7384,*,Peg,23,4,6.26,
4225,NGC7388,*,Peg,23,4,6.26,
4226,NGC7389,G,Peg,23,4,6.26,
4227,NGC7390,G,Peg,23,4,6.26,
4229,NGC7393,G,Aqr,0,2,2.09,
4230,NGC7394,OCl,Lac,22,6,9.39,
4231,NGC7395,G,Lac,22,6,9.39,
4232,NGC7396,G,Psc,0,3,4.17,
4233,NGC7397,G,Psc,0,3,4.17,
4234,NGC7398,G,Psc,0,3,4.17,
4235,NGC7401,G,Psc,0,3,4.17,
4236,NGC7402,G,Psc,0,3,4.17,
4237,NGC7403,*,Psc,0,3,4.17,
4238,NGC7405,G,Peg,23,5,7.3,
4239,NGC7406,G,Aqr,1,2,1.04,
4240,NGC7407,G,Peg,22,6,9.39,
4241,NGC7409,G,Peg,23,5,7.3,
4242,NGC7411,G,Peg,23,5,7.3,
4243,NGC7413,G,Peg,23,5,7.3,
4244,NGC7414,G,Peg,23,5,7.3,
4245,NGC7415,G,Peg,23,5,7.3,
4248,NGC7420,G,Peg,22,6,9.39,
4249,NGC7422,G,Psc,0,4,5.22,
4250,NGC7423,OCl,Cep,22,6,9.39,
4251,NGC7426,G,Lac,22,6,9.39,
4252,NGC7427,G,Peg,0,4,5.22,
4253,NGC7428,G,Psc,0,3,3.13,
4254,NGC7429,OCl,Cep,22,6,9.39,
4255,NGC7430,G,Peg,0,4,5.22,
4256,NGC7431,G,Peg,22,6,9.39,
4258,NGC7433,G,Peg,22,6,9.39,
4259,NGC7434,G,Psc,0,3,3.13,
